rooms,size_sqft,location_score,price
4,697,1.4651354905174694,357047.9641099531
5,2430,5.782191684113332,834870.0215037972
3,3299,5.865716094490959,844582.07878938
5,2691,6.736869113483859,841333.4820129557
5,1108,7.534822003503954,619784.2933214097
2,1647,9.782668715162812,652828.040742547
3,686,5.646703134710758,389295.2638658066
3,3011,3.9066082564712135,764634.7168404952
3,2294,8.156675752918332,768286.2756055822
5,1159,3.437490261358668,515245.3165381424
4,3311,4.950742786350725,802343.9203632498
3,2455,1.7061074320803935,603280.0323165471
5,2950,1.2281566907391177,726481.2045908581
2,1869,9.663835732101326,701210.4797623763
4,2486,8.523821084609853,788753.9410684364
2,2034,7.263767854843282,608028.6600714541
4,646,4.680576499728429,437448.3874848074
5,3411,2.559648880637612,839613.9812632469
1,2234,2.4079333840397745,446086.36473421217
4,2343,3.252186083481358,664586.8308131283
2,988,5.943039982355084,399800.68873608764
5,3476,7.431363304300561,990781.4120034844
4,2459,6.941776390459581,780110.6825065849
1,2163,3.5194050725134858,492893.12302687333
1,3098,9.593787525968747,820303.9977312846
3,2885,7.641072250261916,783866.1152119108
3,3419,5.989186472602606,804172.7399096877
2,1140,6.5054867161091705,498106.52203073783
4,2302,4.776400561850109,696899.8671549931
4,3020,3.229578905510417,731175.2037513987
3,2469,4.2037541078613545,685241.4226239036
4,2698,7.820614994179322,842210.3156827011
4,1938,1.1295413976678028,554068.6715316297
1,2134,2.0446537645622462,433127.5749721201
3,762,1.4140237781957747,358239.4114679229
5,2287,1.3665592208707311,677930.2976872021
3,2691,8.699145256099065,808400.2539709952
5,2893,7.332920734420213,928226.8958064653
1,1123,5.267564461785927,392611.3325932065
2,1516,1.8805074458590134,418031.0123140791
4,1380,5.4245428760514915,545613.1997670421
1,2549,5.261245937025091,607338.6646107136
4,3444,2.5588168291901368,819825.1170469437
2,1827,4.904664843141758,477221.45813367487
2,2801,4.586542609576361,628164.8154706465
1,952,6.542650882469948,338098.72203009593
2,1683,6.715842857808794,547190.1148731499
5,2556,1.4077360879484007,693570.6390333511
2,2182,4.371513531638241,596004.3322515478
4,3363,6.632739241428127,905284.5467533382
4,2755,5.528226327220789,819812.178455906
4,1654,8.7084085706949,674849.7206654748
4,903,6.928242684570505,500712.7195532363
5,2699,2.466409843732867,727453.6028395705
3,2601,1.6351187266038685,598805.1980215987
1,2196,6.78177350385684,582035.836413353
4,1127,1.2386017948745964,354522.001345241
2,1086,6.2719802314611695,448831.4059560154
4,2148,9.462072172824618,773450.4276721173
2,1943,6.179267600882911,593569.8417472383
2,1945,4.493529335858697,535720.8362281821
4,603,6.789593965981179,470640.8243212515
5,753,5.12427601442365,503831.6074992922
2,3057,5.910551103843415,709386.1950680787
2,1996,9.473183278988726,682028.5209378325
4,598,4.474923740206968,447826.27021874004
2,2700,9.650715074415228,769878.3010740682
2,2384,9.148155777604574,744645.8362160834
4,3461,2.762120213103668,788757.165933799
